id;code;name;capital;latitude;longitude
1;AD;Андорра;Андорра-ла-Велья;42.5;1.5
2;AE;ОАЭ;Абу-Даби;24;54
3;AF;Афганистан;Кабул;33;65
4;AG;Антигуа и Барбуда;Сент-Джонс;17.05;-61.8
5;AI;Ангилья;Валли;18.25;-63.17
6;AL;Албания;Тирана;41;20
7;AM;Армения;Ереван;40;45
8;AO;Ангола;Луанда;-12.5;18.5
9;AQ;Антарктида;;-90;0
10;AR;Аргентина;Буэнос-Айрес;-34;-64
11;AS;Американское Самоа;Пагопаго;-14.33;-170
12;AT;Австрия;Вена;47.33;13.33
13;AU;Австралия;Канберра;-27;133
14;AW;Аруба;Ораньестад;12.5;-69.97
15;AZ;Азербайджан;Баку;40.5;47.5
16;BA;Босния;Сараево;44;18
17;BB;Барбадос;Бриджтаун;13.17;-59.53
18;BD;Бангладеш;Дакка;24;90
19;BE;Бельгия;Брюссель;50.83;4
20;BF;Буркина Фасо;Уагадугу;13;-2
21;BG;Болгария;София;43;25
22;BH;Бахрейн;Манама;26;50.55
23;BI;Бурунди;Бужумбура;-3.5;30
24;BJ;Бенин;Порто-Ново;9.5;2.25
25;BM;Бермудские о-ва;Гамильтон;32.33;-64.75
26;BN;Бруней Даруссалам;Бандар-Сери-Бегаван;4.5;114.67
27;BO;Боливия;Сукре;-17;-65
28;BR;Бразилия;Бразилия;-10;-55
29;BS;Багамы;Нассау;24.25;-76
30;BT;Бутан;Тхимпху;27.5;90.5
31;BV;Остров Буве;;-54.43;3.4
32;BW;Ботсвана;Габороне;-22;24
33;BY;Беларусь;Минск;53;28
34;BZ;Белиз;Бельмопан;17.25;-88.75
35;CA;Канада;Оттава;60;-95
36;CF;ЦАР;Банги;7;21
37;CG;Конго;Браззавиль;-1;15
38;CH;Швейцария;Берн;47;8
39;CI;"Кот-д'Ивуар";Ямусукро;8;-5
40;CK;Острова Кука;Аваруа;-21.23;-159.77
41;CL;Чили;Сантьяго;-30;-71
42;CM;Камерун;Яунде;6;12
43;CN;Китай;Пекин;35;105
44;CO;Колумбия;Богота;4;-72
45;CR;Коста-Рика;Сан-Хосе;10;-84
46;CU;Куба;Гавана;21.5;-80
47;CV;Острова Зеленого Мыса;Прая;16;-24
48;CY;Кипр;Никосия;35;33
50;DE;Германия;Берлин;51;9
51;DJ;Джибути;Джибути;11.5;43
52;DK;Дания;Копенгаген;56;10
53;DM;Остров Доминика;Roseau;15.42;-61.33
54;DO;Доминиканская Республика;Санто-Доминго;19;-70.67
55;DZ;Алжир;Алжир;28;3
56;EC;Эквадор;Кито;-2;-77.5
57;EE;Эстония;Таллин;59;26
58;EG;Египет;Каир;27;30
59;ER;Эритрея;Асмэра;15;39
60;ES;Испания;Мадрид;40;-4
61;ET;Эфиопия;Аддис-Абеба;8;38
62;FI;Финляндия;Хельсинки;64;26
63;FJ;Фиджи;Сува;-18;175
65;FM;Микронезия;Паликир;6.92;158.25
67;FR;Франция;Париж;46;2
68;GA;Габон;Либревиль;-1;11.75
104;KG;Кыргызстан,Киргизия;Бишкек;41;75
70;GD;Гренада;Сент-Джоржес;12.12;-61.67
71;GE;Грузия;Тбилиси;42;43.5
72;GF;Французская Гвиана;Кайенна;4;-53
73;GH;Гана;Аккра;8;-2
74;GI;Гибралтар;Гибралтар;36.18;-5.37
75;GL;Гренландия;Нуук;72;-40
76;GM;Гамбия;Банжул;13.47;-16.57
77;GN;Гвинея;Конакри;11;-10
78;GP;Гваделупа;Бас-Тер;16.25;-61.58
49;CZ;Чешская Республика,Чехия;Прага;49.75;15.5
66;FO;Фарерские острова;Торсхавн;62;-7
79;GQ;Экваториальная Гвинея;Малабо;2;10
80;GR;Греция;Афины;39;22
81;GT;Гватемала;Гватемала;15.5;-90.25
82;GU;Гуам;Аганья;13.47;144.78
83;GW;Гвинея-Биссау;Бисау;12;-15
84;GY;Гайана;Джорджтаун;5;-59
85;HK;Гонконг;Гонконг;22.25;114.17
86;HM;Острова Херд и Макдональд;;-53.1;72.52
87;HN;Гондурас;Тегусигальпа;15;-86.5
88;HR;Хорватия;Загреб;45.17;15.5
89;HT;Гаити;Порт-о-Пренс;19;-72.42
90;HU;Венгрия;Будапешт;47;20
91;ID;Индонезия;Джакарта;-5;120
92;IE;Ирландия;Дублин;53;-8
93;IL;Израиль;;31.5;34.75
94;IN;Индия;Нью-Дели;20;77
95;IO;Британская территория в Индийском океане;;-6;71.5
96;IQ;Ирак;Багдад;33;44
97;IR;Иран;Тегеран;32;53
98;IS;Исландия;Рейкьявик;65;-18
99;IT;Италия;Рим;42.83;12.83
100;JM;Ямайка;Кингстон;18.25;-77.5
101;JO;Иордания;Амман;31;36
102;JP;Япония;Токио;36;138
103;KE;Кения;Найроби;1;38
105;KH;Камбоджа;Пномпень;13;105
106;KI;Кирибати;Южная Тарава;1.42;173
107;KM;Коморские о-ва;Морони;-12.17;44.25
108;KN;Сент-Киттс и Невис;Бастер;17.33;-62.75
110;KR;Южная Корея;Сеул;37;127.5
111;KW;Кувейт;Кувейт;29.34;47.66
112;KY;Каймановы Острова;George Town;19.5;-80.5
113;KZ;Казахстан;Астана;48;68
114;LA;Лаос;Вьентьян;18;105
115;LB;Ливан;Бейрут;33.83;35.83
116;LC;Сент-Люсия;Кастри;13.88;-61.13
117;LI;Лихтенштейн;Вадуц;47.17;9.53
118;LK;Шри-Ланка;Коломбо;7;81
119;LR;Либерия;Монровия;6.5;-9.5
120;LS;Лесото;Масеру;-29.5;28.5
121;LT;Литва;Вильнюс;56;24
122;LU;Люксембург;Люксембург;49.75;6.17
123;LV;Латвия;Рига;57;25
124;LY;Ливия;Триполи;25;17
125;MA;Марокко;Рабат;32;-5
126;MC;Монако;Монако;43.73;7.4
127;MD;Молдова;Кишинёв;47;29
128;ME;Черногория;Подгорица;42;19
129;MG;Мадагаскар;Антананариву;-20;47
130;MH;Маршалловы о-ва;Маджуро;9;168
131;MK;Македония;Скопье;41.83;22
132;ML;Мали;Бамако;17;-4
133;MM;Мьянма;Нейпьидо;22;98
134;MN;Монголия;Улан-Батор;46;105
135;MO;Макао;Макао;22.17;113.55
136;MP;Северные Марианские о-ва;Сайпан;15.2;145.75
137;MQ;Мартиника;Форт-де-Франс;14.67;-61
138;MR;Мавритания;Нуакшот;20;-12
139;MS;Монсеррат;Plymouth;16.75;-62.2
140;MT;Мальта;Валлетта;35.83;14.58
141;MU;Маврикий;Порт-Луи;-20.28;57.55
142;MV;Мальдивские о-ва;Мале;3.25;73
143;MW;Малави;Лилонгве;-13.5;34
144;MX;Мексика;Мехико;23;-102
145;MY;Малайзия;Куала-Лумпур;2.5;112.5
146;MZ;Мозамбик;Мапуту;-18.25;35
147;NA;Намибия;Виндхук;-22;17
148;NC;Новая Каледония;Нумеа;-21.5;165.5
149;NE;Нигерия;Ниамей;16;8
150;NF;Остров Норфолк;Кингстон;-29.03;167.95
151;NG;Нигерия;Абуджа;10;8
152;NI;Никарагуа;Манагуа;13;-85
153;NL;Нидерланды;Амстердам;52.5;5.75
154;NO;Норвегия;Осло;62;10
155;NP;Непал;Катманду;28;84
156;NR;Науру;;-0.53;166.92
109;KP;Северная Корея,КНДР;Пхеньян;40;127
157;NU;Ниуе;Алофис;-19.03;-169.87
158;NZ;Новая Зеландия;Веллингтон;-41;174
159;OM;Оман;Маскат;21;57
160;PA;Панама;Панама;9;-80
161;PE;Перу;Лима;-10;-76
162;PF;Французская Полинезия;Папеэте;-15;-140
163;PG;Папуа – Новая Гвинея;Порт-Морсби;-6;147
164;PH;Филиппины;Манила;13;122
165;PK;Пакистан;Исламабад;30;70
166;PL;Польша;Варшава;52;20
167;PM;Сен-Пьер и Микелон;Saint-Pierre;46.83;-56.33
168;PR;Пуэрто-Рико;Сан-Хуан;18.25;-66.5
170;PT;Португалия;Лиссабон;39.5;-8
171;PW;Палау;Нгерулмуд;7.5;134.5
172;PY;Парагвай;Асунсьон;-23;-58
173;QA;Катар;Доха;25.5;51.25
174;RE;Реюньон;Сен-Дени;-21.1;55.6
175;RO;Румыния;Бухарест;46;25
176;RS;Сербия;Белград;44;21
198;TG;ТогоМого;Ломе;8;1.17
178;RW;Руанда;Кигали;-2;30
179;SA;Саудовская Аравия;Эр-Рияд;25;45
180;SB;Соломонские острова;Хониара;-8;159
181;SC;Сейшельские о-ва;Виктория;-4.58;55.67
182;SD;Судан;Хартум;15;30
183;SE;Швеция;Стокгольм;62;15
184;SG;Сингапур;Сингапур;1.37;103.8
185;SI;Словения;Любляна;46;15
186;SK;Словакия;Братислава;48.67;19.5
187;SL;Сьерра-Леоне;Фритаун;8.5;-11.5
188;SM;Сан-Марино;Сан-Марино;43.77;12.42
189;SN;Сенегал;Дакар;14;-14
190;SO;Сомали;Могадишу;10;49
191;SR;Суринам;Парамарибо;4;-56
192;ST;Сан-Томе и Принсипе;Сан-Томе;1;7
193;SV;Сальвадор;Сан-Сальвадор;13.83;-88.92
195;SZ;Свазиленд;Мбабане;-26.5;31.5
196;TC;Острова Тёркс и Кайкос;Коберн-Таун;21.75;-71.58
197;TD;Чад;Нджамена;15;19
199;TH;Тайланд;Бангкок;15;100
200;TJ;Таджикистан;Душанбе;39;71
201;TK;Токелау;;-9;-172
202;TM;Туркменистан;Ашхабад;40;60
203;TN;Тунис;Тунис;34;9
204;TO;Тонга;Нукуалофа;-20;-175
205;TR;Турция;Анкара;39;35
206;TT;Тринидад и Тобаго;Порт-оф-Спейн;11;-61
207;TV;Тувалу;Funafuti;-8;178
208;TW;Тайвань;Тайбэй;23.5;121
209;TZ;Танзания;Додома;-6;35
210;UA;Украина;Киев;49;32
211;UG;Уганда;Кампала;1;32
213;UY;Уругвай;Монтевидео;-33;-56
214;UZ;Узбекистан;Ташкент;41;64
215;VA;Ватикан;Ватикан;41.9;12.45
216;VC;Сент-Винсент и Гренадины;Кингстаун;13.25;-61.2
217;VE;Венесуэла;Каракас;8;-66
218;VG;Британские Виргинские о-ва;Road Town;18.5;-64.5
219;VI;Виргинские о-ва (США);Шарлота Амалия;18.33;-64.83
220;VN;Вьетнам;Ханой;16;106
221;VU;Вануату;Порт-Вила;-16;167
222;WF;Уоллис и Футуна;Мата-Уту;-13.3;-176.2
223;WS;Самоа;Апиа;-13.58;-172.33
224;YE;Йемен;Сана;15;48
225;YT;Майотта;Мамудзу;-12.83;45.17
226;ZA;ЮАР;Претория;-29;24
227;ZM;Замбия;Лусака;-15;30
228;ZW;Зимбабве;Хараре;-20;30
69;GB;Великобритания,Англия,Британия;Лондон;54;-2
212;US;США,Соединенные штаты,Соединенные Штаты Америки;Вашингтон;38;-97
194;SY;Сирия;Дамаск;35;38
64;FK;Фолклендские острова;Stanley;-51.75;-59
169;PS;Палестинские территории,Палестина;;32;35.25
